code	lc	product_name_ca	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_it	product_name_pt	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_cs	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_cs	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	lactose_value	lactose_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-b9_value	vitamin-b9_unit	vitamin-b12_value	vitamin-b12_unit	calcium_value	calcium_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	cocoa_value	cocoa_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	data_sources
84105929	es					Danonino chocolate										330 g				Danone	danone	Lácteos, Postres, Postres lácteos, Postres de chocolate, Postres lácteos con chocolate	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:dairy-chocolate-desserts	Sin gluten, Sin conservantes, Punto Verde, Nutriscore, Nutriscore C	en:no-gluten,en:no-preservatives,en:green-dot,en:nutriscore,en:nutriscore-grade-c	España	en:spain			0							ES 15.00910/O EC	es-15-00910-o-ec			skim milk, cheese (28%), sugar, starch and modified corn starch, thickener (carrogenane), degreased cocoa (2.2%), caramel (sucrose and glucose and fructose syrup), milk and lactose proteins, chocolate (0.9%) [cocoa and sugar], aroma (vainilline) and stabilizer (trisodic citrate),	Leche desnatada, queso (28%), azúcar, almidón y almidón modificado de maíz, espesante (carragenano), cacao desgrasado (2,2%), caramelo (sacarosa y jarabe de glucosa y fructosa), proteínas de la leche y lactosa, chocolate (0,9%) [cacao y azúcar], aroma (vainillina) y estabilizante (citrato trisódico),						Leche	en:milk				100g	100g			172	kcal	6.3	g	4	g	24.4	g	21.7	g			3.8	g	0	g	0	g			172	kcal																																								en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	7	unknown		1		-5	-15	1	0	App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood
5601050037272	es					YoPro Protein Pudding Chocolate							Pudín de chocolate			180g	180g	Plástico	en:plastic	Danone,YoPro	danone,yopro	Lácteos, Postres, Postres lácteos, en:Puddings, Postres de chocolate, Postres de cremas, Natillas chocolate	en:dairies,en:desserts,en:dairy-desserts,en:puddings,en:chocolate-desserts,en:creamy-puddings,en:chocolate-creamy-puddings	Bajo o sin grasas, Bajo en grasas, Punto Verde, Sin azúcares añadidos, Nutriscore, Nutriscore A, Recicla amarillo, Ecoponto amarelo, pt:9 Essential Amino Acids	en:low-or-no-fat,en:low-fat,en:green-dot,en:no-added-sugar,en:nutriscore,en:nutriscore-grade-a,es:recicla-amarillo,pt:ecoponto-amarelo,pt:9-essential-amino-acids	Andorra, Portugal, España	en:andorra,en:portugal,en:spain	Pingo Doce,Bonpreu,Caprabo	pingo-doce,bonpreu,caprabo	0							DE BY-13112 EC	de-by-13112-ec			pasteurized skimmed milk (88%), milk proteins cocoa powder (1.8%), modified starch, polo-defatted cocoa (0.3%), thickeners (carrageenans and e 466), stabilizer (e 339), natural flavoring, sweeteners (sucralose and acesulfame k) and acidity corrector (e 524) may contain cereals with gluten, eggs and nuts ingredients-leite skimmed pasteurized (88%), proteins do leite causal em pó (1.8%),  modified amido, lean cacau em pó (0.3%), thickeners 55 ww,camone,es (caragenins and e466), stabilizer (e 339), natural aroma, sweeteners proteins with us! e informa sucralose e acessulfame k) e regulador de acidez (e524) 137,919 www,danone,pt pode conter cereais com gluten, ovos e frutos de casca rija, envase plástico c buenos aires 21 flona gal, s,a, apartado 4007 lisboa wore scoples dos quois dono t-s	Leche desnatada pasteurizada (87%), proteínas de la leche cacao en polvo (1,8%), almidón modificado, cacao desgrasado en palva (0.7%), espesantes (carragenanos y E 466), estabilizante (E 339), aroma natural, edulcorantes (sucralosa y acesulfamo K) y corrector de acidez (E524). Puede contener cereales con gluten, huevos y frutos de cáscara					_Leite_ desnatado pasteurizado (88%), proteínas do _leite_, cacau em pó (1,8%), amido modificado, cacau magro em pó (0,3%), espessantes (carageninas e E 466), estabilizador (E 339), aroma natural, edulcorantes sucralose e acessulfame K) e regulador de acidez (E 524). Pode conter _cereais com glúten_, _ovos_ e _frutos de casca rija_.	Gluten, Leche, Frutos de cáscara, Cereais com glúten, Frutos de casca rija, Leite, Ovos	en:gluten,en:milk,en:nuts,es:cereais-com-gluten,es:frutos-de-casca-rija,es:leite,es:ovos	Huevos, Gluten, Frutos de cáscara	en:eggs,en:gluten,en:nuts		100g	100g	344	kJ	82	kcal	1.8	g	1.2	g	6.3	g	4.8	g			10.2	g	0.26	g	0.104	g			344	kJ																													en:plastic											en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	a	-1	unknown				-5	-10	1	0	App - Yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts, App - InFood
8410500028312	es					Yo pro mousse chocolate														Danone	danone	Postres, Postres de chocolate, Mousses de chocolate	en:desserts,en:chocolate-desserts,en:chocolate-mousses	Nutriscore, Nutriscore A	en:nutriscore,en:nutriscore-grade-a	Andorra, España	en:andorra,en:spain			0							DE NW-303 EC	de-nw-303-ec				Leche desnatada pasteurizada, proteínas de la leche, cacao (4%), almidón modificado de maíz, emulgente (E 472b), gelatina, nata pasteurizada, estabilizante (citratos de sodio) y edulcorante (sucralosa). Puede contener soja, cereales con gluten y frutos de cáscara.					Leite desnatado pasteurizado, proteínas do leite, cacau (4%), amido modificado de milho, emulsionante (E 472b), gelatina, nata pasteurizada, estabilizador (citratos de sódio) e edulcorante (sucralose). Pode conter sojo, cereais com glúten e frutos de casca rija.	Leche	en:milk	Gluten, Frutos de cáscara, Soja	en:gluten,en:nuts,en:soybeans		100g	100g			85	kcal	2.3	g	1.6	g	5.4	g	4.2	g			10	g	0.25	g	0.1	g			85	kcal																																										4	en:4-ultra-processed-food-and-drink-products	a	-2	d	22	1	39206	-5	-15	1	0	App - Yuka, Apps, App - El CoCo
5941209023283	en				YoPRO protein pudding hazelnut chocolate												180 g			Danone	danone					Romania	en:romania			0																							100g	100g	322	kJ	76	kcal	0.9	g	0.6	g	6.2	g	4.5	g			10	g	0.33	g	0.132	g			322	kJ																					57	mg																					unknown			unknown		1		-5	-15	1	0	App - Waistline, Apps
3033491602030	fr							Hipro 25g protéines Chocolat								33 cl	330ml	Brique en carton	fr:brique-en-carton	Danone	danone	Boissons, Produits laitiers, Boissons lactées, Laits aromatisés, Laits aromatisés au chocolat	en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks	Sans conservateurs, Point Vert, Sans lactose, Nutriscore, Nutriscore A	en:no-preservatives,en:green-dot,en:no-lactose,en:nutriscore,en:nutriscore-grade-a	France	en:france	Carrefour City,carrefour.fr	carrefour-city,carrefour-fr	0							DE HE-001 EG	de-he-001-ec						_Lait_ écrémé, protéines de _lait_, cacao maigre en poudre 1%, épaississants (gomme gellane, gomme de cellulose), stabilisants (polyphosphate, phosphate de sodium), arômes naturels, édulcorant (sucralose), sel.				Lait	en:milk				100g	100g	229	kJ	54	kcal	0.3	g	0.2	g	5	g	4.7	g			7.6	g	0.2	g	0.08	g	0	% vol	229	kJ																			0.24	g							1	en:brick	en:tetra-pak	en:recycle										en:artificially-sweetened-beverages	en:beverages,en:artificially-sweetened-beverages	4	en:4-ultra-processed-food-and-drink-products	e	12	c	40		19122	-5	-4	1	0	App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts, App - Waistline
3033490905378	fr							Crème au chocolat Taillefine (0,9% MG)						Crème dessert au chocolat, avec sucres et édulcorants		4 * 120 g (480 g)	120 g	Plastique, Pot	en:plastic,en:pot	Taillefine,Danone	taillefine,danone	Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Crèmes dessert, Crèmes dessert chocolat, Crèmes dessert rayon frais, Crèmes dessert chocolat réfrigérées	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:creamy-puddings,en:chocolate-creamy-puddings,en:refrigerated-creamy-puddings,en:refrigerated-chocolate-creamy-puddings	Point Vert	en:green-dot	France	en:france	Auchan,Monoprix	auchan,monoprix	0							FR 59.043.030 EC,FR 38.408.002 EC	fr-59-043-030-ec,fr-38-408-002-ec						lait écrémé, lait écrémé concentré ou en poudre, sucre (5,3%), cacao maigre, épaississants: amidon transformé, carraghénanes chocolat (2%) (sucre, pâte de cacao, cacao maigre en poudre, emulsifiant: lécithine de soja, arome), perméat de petit lait (lactosérum) en poudre amidon, édulcorants: acésulfame-k, sucralose. Contient: lait, soja.				Lait, Soja	en:milk,en:soybeans				100g	100g	363	kJ	86	kcal	0.9	g	0.6	g	15.1	g	12.1	g			3.8	g	0.21	g	0.084	g			363	kJ																												en:pot	en:plastic											en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	b	1	b	68		39200	-5	-10	1	0	App - yuka, Apps
8410500027667	pt									YoPRO 20g PROTEIN MOUSSE FLAVOR SALTED CARAMEL CHOCOLATE						200 g				Danone	danone	Laticínios, Sobremesas, Sobremesas de laticínios, Pudim Proteico	en:dairies,en:desserts,en:dairy-desserts,pt:pudim-proteico			Portugal	en:portugal			0																	"Água, proteínas do leite (7,8%), _leite_ desnatado em pó, cacau (5%), _nata_ posteurizada, gelatina, sal, emulsionante (E 371), estabizadar (citratos de sódio), edulcorante (sucralose), sais de magnésio e aroma natural."	Leite, Nata	en:milk,pt:nata	Glúten, Nozes, Soja	en:gluten,en:nuts,en:soybeans		100g	100g	325	kJ	78	kcal	2.4	g	1.4	g	3.7	g	3.2	g			10.3	g	0.53	g	0.212	g			325	kJ																					56	mg																		en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	a	-2	unknown		1		-5	-15	1	0	App - Open Food Facts, Apps, App - Yuka
3033491432910	fr							Danette chocolat								500 g (4 x 125 g)		Bouchon ou couvercle, Plastique, Pot, Couvercle	en:lid-or-cap,en:plastic,en:pot,en:lid	Danone,Danette	danone,danette	Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Crèmes dessert, Crèmes dessert chocolat, Crèmes dessert rayon frais, Crèmes dessert chocolat réfrigérées	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:creamy-puddings,en:chocolate-creamy-puddings,en:refrigerated-creamy-puddings,en:refrigerated-chocolate-creamy-puddings	Lait Français, Point Vert	en:french-milk,en:green-dot	France	en:france			0		France, Inconnu	en:france,en:unknown		France	france	FR 38.408.002 EC,FR 59.043.030 CE	fr-38-408-002-ec,fr-59-043-030-ec						Lait demi écrémé, sucre, crème (lait), chocolat (2,2%) (sucre, pâte de cacao, cacao maigre, émulsifiant (lécithine de soja), arome), cacao maigre, épaississants (amidon transformé de mais, carraghénanes), perméat de petit lait (lactosérum) en poudre, lait écrémé concentré ou en poudre, amidon de maïs.				Lait, Soja	en:milk,en:soybeans				100g	100g			122	kcal	3	g	2	g	19.9	g	17.5	g			3.3	g	0.15	g	0.06	g			122	kcal																												en:pot												en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	3	b	76		39200	3	-10	0	0	App - yuka, Apps, App - smoothie-openfoodfacts
3033491589669	en				Danette végétale			Danette végétale chocolat base coco						Dessert végétal au lait de coco et au chocolat		400 g	133 g	"fr:Opercule en métal, fr:Opercule métal à recycler, fr:Pensez au tri!, fr:Point vert, fr:Pot et couvercle plastique à jeter, fr:Triman"	fr:opercule-en-metal,fr:opercule-metal-a-recycler,fr:pensez-au-tri,fr:point-vert,fr:pot-et-couvercle-plastique-a-jeter,fr:triman	Danone,Danette	danone,danette	Plant-based foods and beverages, Dairies, Dairy substitutes, Desserts, Non-dairy desserts, Dairy desserts, Chocolate desserts, Vegan creamy puddings, Vegan chocolate puddings	en:plant-based-foods-and-beverages,en:dairies,en:dairy-substitutes,en:desserts,en:non-dairy-desserts,en:dairy-desserts,en:chocolate-desserts,en:vegan-creamy-puddings,en:vegan-chocolate-puddings	Green Dot, Nutriscore, Nutriscore Grade C	en:green-dot,en:nutriscore,en:nutriscore-grade-c	Belgium, France	en:belgium,en:france	Cora,Delhaize,carrefour.fr	cora,delhaize,carrefour-fr	0											coconut milk 40,9% (coconut cream, water), water, chocolate powder to 8,8% (sugar,cocoa powder), sugar, thickeners (modified starch, tapioca, agar agar, dark chocolate (cocoa powder, cocoa paste, sugar) (0,7%), salt			lait de coco 40,9% (crème de coco, eau), eau, chocolat en poudre 8,8% (sucre,cacao en poudre), sucre, épaississants (amidon transformé de tapioca, agar agar, chocolat noir (poudre de cacao, pâte de cacao, sucre) (0,7%), sel						Milk, Nuts, Soybeans	en:milk,en:nuts,en:soybeans		100g	100g	523	kJ	125	kcal	6.1	g	5.3	g	15.6	g	11.1	g			1.1	g	0.13	g	0.052	g			523	kJ																												en:lid	en:plastic	en:discard		en:seal	en:metal	en:recycle						en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	7	unknown				-5	-3	0	0	App - yuka, Apps, App - InFood
3033491377150	fr							Danette le liégeois chocolat										Pot	en:pot	Danone, Danette	danone,danette	Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Desserts lactés au chocolat, Liégeois	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:dairy-chocolate-desserts,en:liegeois	Point Vert, Nutriscore, Nutriscore C	en:green-dot,en:nutriscore,en:nutriscore-grade-c	France	en:france	carrefour.fr	carrefour-fr	0		France	en:france				FR 38.408.002 EC	fr-38-408-002-ec						lait entier, crème (lait), eau, sucre, perméat de petit lait (lactosérum) en poudre, chocolat (2,0% ) (sucre, pâte de cacao, cacao maigre, émulsifiant (lécithine de soja), arôme), cacao maigre, épaississants (amidon transformé, carraghénanes), amidon, gélatine (non porcine), émulsifiant (esters lactiques des mono - et diglycérides d'acides gras), arôme (lait), sel. Contient lait, soja.				Lait, Soja	en:milk,en:soybeans	"Œufs, Gluten, Fruits à coque"	en:eggs,en:gluten,en:nuts		100g	100g			157	kcal	7.6	g	5.2	g	19	g	17	g			2.8	g	0.14	g	0.056	g			157	kcal																												en:pot												en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	c	8	b	67		19681	4	-10	0	0	App - yuka, Apps
8595002108813	cs		"Bio sójový dezert s čokoládovou příchutí"													125 g	125 g	"Umělá hmota, 22 PAP"	en:plastic,en:paper	Provamel,Danone	provamel,danone	en:Desserts, en:Chocolate desserts	en:desserts,en:chocolate-desserts	"Bio, Vegetariánské, EU bio, Bez lepku, Zemědělství mimo EU, Udržitelné zemědělství, Veganské, BE-BIO-01, Zemědělství EU, Zemědělství EU a mimo EU, Bez laktózy, en:The Vegan Society, UTZ certifikováno, UTZ Certified Cocoa, en:European soya"	en:organic,en:vegetarian,en:eu-organic,en:no-gluten,en:non-eu-agriculture,en:sustainable-farming,en:vegan,en:be-bio-01,en:eu-agriculture,en:eu-non-eu-agriculture,en:no-lactose,en:the-vegan-society,en:utz-certified,en:utz-certified-cocoa,en:european-soya	"Česko, Slovensko"	en:czech-republic,en:slovakia	Tesco,rohlik.cz	tesco,rohlik-cz	0				Soy from Europe					"Sójová složka (voda, loupané sójové boby* (6,2 %), třtinový cukr*, kakaový prášek* se sníženým obsahem tuku (3,3 %), kukuřičný škrob“, tapiokový škrob*, pšeničný škrob“, mořská sůl. *produkt ekologického zemědělství"									Lepek, Sójové boby	en:gluten,en:soybeans				100g	100g	373	kJ	88	kcal	1.6	g	0.4	g	14.4	g	9.2	g	1.5	g	3.1	g	0.14	g	0.056	g			373	kJ							0	g																					en:plastic				en:paper						https://www.provamel.com/uk/products/desserts/soya-chocolate			3	en:3-processed-foods	b	1	unknown				-5	-11	1	20	App - Open Food Facts, Apps
3033491753558	fr							Danette mousse chocolat saveur noisette								240g				Danone,Danette	danone,danette	Produits laitiers, Desserts, Surgelés, Desserts lactés, Desserts au chocolat, Mousses au chocolat, Mousse au chocolat aromatisée noisette	en:dairies,en:desserts,en:frozen-foods,en:dairy-desserts,en:chocolate-desserts,en:chocolate-mousses,fr:mousse-au-chocolat-aromatisee-noisette	Nutriscore, Nutriscore D	en:nutriscore,en:nutriscore-grade-d	France, Serbie	en:france,en:serbia	Franprix,Carrefour,Monoprix,Cora,Intermarché,Super U,Auchan, carrefour.fr	franprix,carrefour,monoprix,cora,intermarche,super-u,auchan,carrefour-fr	0		Allemagne	en:germany		Rueil Malmaison France	rueil-malmaison-france	DE BY-601 EC	de-by-601-ec						Lait entier, crème (lait), chocolat (7%) (pâte de cacao, sucre, émulsifiant (lécithine de soja), arôme), chocolat en poudre (sucre, cacao en poudre), sucre, lactose (lait), caramel (sucre, sirop de glucose-fructose, eau, sel, émulsifiant (esters lactiques des mono - et diglycérides d'acides gras), gélatine bovine, épaississant (amidon transforme de maïs), arôme, sel.				Lait, Soja	en:milk,en:soybeans	Lait, Soja	en:milk,en:soybeans		100g	100g	746	kJ	178	kcal	8	g	5.3	g	21.9	g	21.3	g	0	g	4	g	0.23	g	0.092	g			746	kJ																																							https://www.danone.fr/nos-produits-laitiers-frais/danette/mousse.html	en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	d	12	d	31	1	39206	4	-15	1	0	App - yuka, Apps, App - Open Food Facts
8410500025885	es					Mousse de chocolate										4 x 60 g				Danone	danone					España	en:spain			0																							100g	100g			172	kcal	8	g	5.3000001907349	g	20.5	g	19.700000762939	g			4.5	g	0.23999999463558	g	0.095999997854232	g			172	kcal																																											unknown			unknown		1		-5	-15	1	0	App - yuka, Apps, App - El CoCo
3033491031014	fr			Danette mousse liégeoise	Danette mousse liégeoise			Danette Mousse Liégeoise Chocolat	Danette mousse liégeoise							320 g (4 * 80 g)	80g	Plastique, Carton, Frais	en:plastic,en:cardboard,en:fresh	Danone,Danette	danone,danette	Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Crèmes dessert, Mousses sucrées, Desserts lactés au chocolat, Mousses lactées	en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:creamy-puddings,en:sweet-mousses,en:dairy-chocolate-desserts,en:dairy-mousses	Point Vert, Fabriqué en Allemagne, Nutriscore, Nutriscore D, Triman	en:green-dot,en:made-in-germany,en:nutriscore,en:nutriscore-grade-d,fr:triman	France, Suisse	en:france,en:switzerland	Carrefour	carrefour	0		Union européenne	en:european-union		Allemagne	allemagne	FR 38.408.002 CE,DE BY-601 EC	fr-38-408-002-ec,de-by-601-ec		Danone danette mousse liégelait whole (55.4%), cream (milk), lactose, glucose-fructose syrup, sugar, chocolate (4.8%) (cocoa mass, sugar, emulsifier: soy lecithin, flavoring), lean cocoa powder emulsifier: e 472b, thickeners: e 1442, e 407, e 415; gelatin (non-porcine), aroma, salt.	Danone danette mousse liégelait whole (55.4%), cream (milk), lactose, glucose-fructose syrup, sugar, chocolate (4.8%) (cocoa mass, sugar, emulsifier: soy lecithin, flavoring), lean cocoa powder emulsifier: e 472b, thickeners: e 1442, e 407, e 415; gelatin (non-porcine), aroma, salt.			LAIT entier, crème (LAIT), LACTOSE (LAIT), sirop de glucose-fructose, sucre, chocolat (4,8%) (pâte de cacao, sucre, émulsifiant (lécithine de SOJA), arôme), cacao maigre, émulsifiant (esters lactiques des mono - et diglycérides d'acides gras), épaississants (amidon transformé, carraghénanes, gomme xanthane), gélatine bovine, arôme, sel.	Danone mousse danette liégelait intere (55,4%), panna (latte), lattosio, sciroppo di glucosio-fruttosio, zucchero, cioccolato (4,8%) (massa di cacao, zucchero, emulsionante: lecitina di soia, aromi), polvere di cacao magro emulsionante: e 472b, addensanti: e 1442, e 407, e 415; gelatina (non suina), aroma, sale.			Lait, Soja	en:milk,en:soybeans	"Fruits à coque, Arachides"	en:nuts,en:peanuts		100g	100g	811	kJ	194	kcal	9.7	g	6.5	g	22.6	g	21.3	g			3.4	g	0.14	g	0.056	g			811	kJ																											1	en:sleeve	en:cardboard	en:recycle	1	en:seal	en:plastic	en:discard		en:pot	en:plastic		http://www.danoneprofessional.be/fr/products/pdf/4974	en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	d	12	unknown				-5	-12	1	0	Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, App - Open Food Facts
7350000552478	fi						YoPRO protein pudding chocolate									180 g	180 g			Danone	danone	Maitotuotteet, Jälkiruoat, Maitojälkiruoat, Vanukkaat, Suklaajälkiruoat, Jälkiruokakermat, en:Chocolate creamy puddings	en:dairies,en:desserts,en:dairy-desserts,en:puddings,en:chocolate-desserts,en:creamy-puddings,en:chocolate-creamy-puddings	Vihreä piste	en:green-dot	Suomi	en:finland			0							DE BY-13112 EC	de-by-13112-ec					Pastöroitu maito, maitoproteiini, kaakaojauhe 1,8%, muunnettu tärkkelys, vähärasvainen kaakaojauhe 0,7%, sakeuttamisaine (karrageeni), natriumkarboksimetyyliselluloosa, stabilointiaine (natriumfosfaatit), happamuudensäätöaine (natriumhydroksidi), luontainen aromi, makeutusaine (asesulfaami K, sukraloosi)					Maito	en:milk				100g	100g	349	kJ	83	kcal	1.9	g	1.2	g	6.2	g	4.7	g			10	g	0.29	g	0.116	g			349	kJ																																								en:dairy-desserts	en:milk-and-dairy-products,en:dairy-desserts	4	en:4-ultra-processed-food-and-drink-products	a	-1	unknown		1		-5	-15	1	0	App - smoothie-openfoodfacts, Apps
